MD                  	REF                 
1010.84             	0.0                 
1011.84             	0.0                 
1012.84             	0.0                 
1013.46             	0.0                 
1014.46             	0.0                 
1015.46             	0.0                 
1016.46             	0.0                 
1017.46             	0.0                 
1018.46             	0.0                 
1019.46             	0.0                 
1020.46             	0.0                 
1021.08             	0.0                 
1022.08             	0.0                 
1023.08             	0.0                 
1024.08             	0.0                 
1025.08             	0.0                 
1026.08             	0.0                 
1027.08             	0.0                 
1028.08             	0.0                 
1028.7              	0.0                 
1029.7              	0.0                 
1030.7              	0.0                 
1031.7              	0.0                 
1032.7              	0.0                 
1033.7              	0.0                 
1034.7              	0.0                 
1035.7              	0.0                 
1036.3200000000002  	0.0                 
1037.3200000000002  	0.0                 
1038.3200000000002  	0.0                 
1039.3200000000002  	0.0                 
1040.3200000000002  	0.0                 
1041.3200000000002  	0.0                 
1042.3200000000002  	0.0                 
1043.3200000000002  	0.0                 
1043.94             	0.0                 
1044.94             	0.0                 
1045.94             	0.0                 
1046.94             	0.0                 
1047.94             	0.0                 
1048.94             	0.0                 
1049.94             	0.0                 
1050.94             	0.0                 
1051.56             	0.0                 
1052.56             	0.0                 
1053.56             	0.0                 
1054.56             	0.0                 
1055.56             	0.0                 
1056.56             	0.0                 
1057.56             	0.0                 
1058.56             	0.0                 
1059.18             	0.0                 
1060.18             	0.0                 
1061.18             	0.0                 
1062.18             	0.0                 
1063.18             	0.0                 
1064.18             	0.0                 
1065.18             	0.0                 
1066.18             	0.0                 
1066.8              	0.0                 
1067.8              	0.0                 
1068.8              	0.0                 
1069.8              	0.0                 
1070.8              	0.0                 
1071.8              	0.0                 
1072.8              	0.0                 
1073.8              	0.0                 
1074.42             	0.0                 
1075.42             	0.0                 
1076.42             	0.0                 
1077.42             	0.0                 
1078.42             	0.0                 
1079.42             	0.0                 
1080.42             	0.0                 
1081.42             	0.0                 
1082.04             	0.0                 
1083.04             	0.0                 
